co2PerCapita cluster1,co2PerCapita cluster2,co2PerCapita cluster3,totalGHG cluster1,totalGHG cluster2
0.02803930232536838,0.7084633284821011,0.25929070681396316,0.2752715676004976,0.041212881436337855
0.02769652949185353,0.39415894308493904,0.1440507913497552,0.1764283230209231,0.009214911329974573
0.027417302174971635,0.47173146428663526,0.13375522037548568,0.4680043339620338,0.021044911043564526
0.02718367136787569,0.4212453778789722,0.13190035237092146,0.3330045097006167,0.014592463814800284
0.0268748150555958,0.4110217322239612,0.13406207150536972,0.2575032650687123,0.014001641965461081
0.026399139699099752,0.4018673844739196,0.1375047151582043,0.28808733803175696,0.005893569310922846
0.025748123092603794,0.3091289081631235,0.14121003800475843,0.29322871110930837,0.013941505692278354
0.024988835104079878,0.3556071345541624,0.1448033470646011,0.29322871110930837,0.014661389675043766
0.024221409405054784,0.41236165806826897,0.14815777780417233,0.29322871110930837,0.014666057190320549
0.02353960764402592,0.430555708678639,0.15123540927716203,0.29322871110930837,0.014675853033584924
0.02301100430452747,0.4442488614904687,0.15398970798133713,0.29322871110930837,0.015040309648227812
0.022671612878654452,0.4577718947657348,0.15635166456183655,0.29322871110930837,0.014688612256045308
0.02252804766844538,0.47222760530558544,0.15827863714493884,0.29322871110930837,0.014691248345319942
0.02256459167586271,0.49169040860991836,0.1597939997187852,0.29322871110930837,0.014694632878170867
0.022752968011115315,0.6179822501174175,0.16097338729467775,0.29322871110930837,0.014697206255339799
0.023061694135344243,0.5077828354346544,0.16190021774420957,0.29322871110930837,0.014697892855741246
0.023462541111877636,0.5010802908476522,0.16263584202227713,0.29322871110930837,0.014701852061902344
0.023933357635134638,0.4976147415883724,0.16322133092709587,0.29322871110930837,0.014703859266775088
0.024458000106611793,0.495199699732334,0.16369655841873962,0.29322871110930837,0.014704903769191669
0.02502475830559654,0.4933007140794762,0.16411341071026933,0.29322871110930837,0.014707058478109025
0.02562460903169863,0.49182740343863746,0.16453208227077526,0.29322871110930837,0.014706205343959292
0.02625018652032266,0.49074890397692855,0.16500613822901922,0.29322871110930837,0.014707636394411836
0.026895767591829958,0.48998388025078543,0.16556731367441438,0.29322871110930837,0.014713567223143815
0.02755798477457879,0.489384096145327,0.16621632321592805,0.29322871110930837,0.014719354612487391
0.028236546982434375,0.48874753022830236,0.1669217703866587,0.29322871110930837,0.01472280287058599
0.02893411912430985,0.4878496940671755,0.16762934568649943,0.29322871110930837,0.014726476724361242
0.02965477269511156,0.4864901258870629,0.16828500032544103,0.29322871110930837,0.014724997015784483
0.030400987713616715,0.48453930771620046,0.1688759804708264,0.29322871110930837,0.014708695932314945
0.03116986288551064,0.48196269658609553,0.16949605958416938,0.29322871110930837,0.01468637095889344
0.03194988161375492,0.47880768283313435,0.17052641896772996,0.29322871110930837,0.014540312090763513
0.03272038520768439,0.4751610561193779,0.2407898056623478,0.29322871110930837,0.005749969315650173
0.03345651650528117,0.4711027193712473,0.17112535160842435,0.30318989865702084,0.013647281952883339
0.034141098897204396,0.4666868544111905,0.1666228397927257,0.2935635661057742,0.013709924780596234
0.034779639984761884,0.4619654910127601,0.16265010760166432,0.28645289226866916,0.013662652917090535
0.0354080818241519,0.4570099906682513,0.15900761085483908,0.2468880319205789,0.012947425135583748
0.036084254696310054,0.45181402651648295,0.15574150768655323,0.07683813070694896,0.017442497567404815
0.036866215267721554,0.446109333141906,0.15271881198993723,0.18323100874945922,0.030398130119722047
0.037788136749262305,0.43974451842087414,0.14989566883785846,0.22504448777729213,0.0200503599966192
0.03881821284350666,0.4332309734861526,0.14699729253026425,0.3099953812089196,0.07501903843145787
