year,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,coal_co2,cement_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,share_global_cement_co2,share_global_coal_co2,share_global_gas_co2,share_global_oil_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_gas_co2,cumulative_oil_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,population,gdp,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Cereal yield (kg per hectare),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent),Urban population,Urban population (% of total population),Urban population growth (annual %),iso_code,country
2001,992.56,1.39,13.641,0.923,3.9,19932.284,1.86,0.342,582.912,46.74,43.569,316.115,0.044,0.542,0.04,0.294,6.25,6.43,0.91,3.05,703.752,13468.692,536.138,5094.089,3.69,2.52,0.43,1.35,1075000094.0,2906877974715.2,55.8,60.70483218,1804870.0,21.62050461,53.92356358,1.136719278,0.333841373,0.402153184,953880.0,0.887330155,4.571256028,43604.297,31.24800059,298068.428,67.50127857,643881.196,2.132931139,2423.1,393.8101981,69.41705728,12.52985951,9.509819423,3.311111905,4.554967858,0.677184016,3983000000.0,416.0144408,156.5176515,1.056378305,22.7975676,677815.0,10.66217121,594700.0,88.2,19.42506928,185000.0,-34.80741606,-120522.7266,1.72876857,12.56137965,1075000094.0,13.20704353,51.85850143,0.809880018,35.19092885,1741320.0,300118526.0,27.918,2.631895927,IND,India
2002,1023.027,3.07,30.467,0.936,3.93,20955.311,1.91,0.342,599.45,49.111,47.134,324.588,0.045,0.548,0.043,0.297,6.23,6.34,0.96,3.13,752.863,14068.142,583.272,5418.676,3.79,2.59,0.45,1.4,1093317187.0,2989575556471.24,62.3,60.72938494,1805600.0,19.5366997,53.95955186,1.13369386,0.332952842,0.394837447,987530.0,0.903241998,4.776795439,47172.288,28.84309591,284834.225,67.05151813,662153.857,2.144090358,2187.3,410.6447839,69.89346472,11.20700669,10.30053956,3.176074771,4.574759788,0.84815447,5178000000.0,421.2704908,155.2886243,1.011571805,22.86164019,679720.0,10.16830704,589390.0,84.6,15.61236501,179100.0,-19.48849813,-121031.4766,1.689561661,12.65438801,1093317187.0,12.05516116,50.80810165,0.830370009,38.19616575,1763940.0,308796506.0,28.244,2.850502002,IND,India
2003,1059.616,3.58,36.589,0.953,3.87,22014.927,1.96,0.33,626.782,50.88,49.988,329.937,0.046,0.564,0.045,0.297,6.0,6.11,0.98,3.09,803.743,14694.924,633.26,5748.613,3.88,2.65,0.47,1.45,1111523146.0,3212953734998.67,64.02313232,60.62478348,1802490.0,19.58060679,53.74664922,1.081260232,0.317553689,0.369710243,1015890.0,0.913962074,4.92463564,50028.881,28.92551142,293851.378,68.15149947,692344.268,2.15407555,2399.4,430.4831633,67.83142323,12.41509011,11.18590369,2.731866812,4.776311119,1.054334649,6862000000.0,424.2943448,147.4199402,0.605889255,22.92571279,681625.0,11.98803202,598510.0,81.2,20.14158496,186410.0,4.404376004,-126567.2813,1.651491269,12.75500915,1111523146.0,13.46942476,50.82979965,0.915700018,42.45994632,1808910.0,317584393.0,28.572,2.806108442,IND,India
2004,1125.471,6.21,65.855,0.996,3.93,23140.399,2.01,0.326,670.922,55.545,49.585,347.518,0.049,0.594,0.044,0.308,6.13,6.16,0.94,3.16,859.288,15365.846,682.844,6096.131,3.98,2.72,0.48,1.49,1129623466.0,3454210812182.42,64.4,60.66716221,1803750.0,17.81469065,53.70696121,1.07219861,0.314892395,0.357000631,1087190.0,0.962435743,4.564566543,49625.511,27.30510012,296858.318,68.1669595,741104.367,2.1888314,2350.0,451.6115461,67.69168015,13.23292266,11.19561515,2.487021028,4.132949118,1.249577845,8547000000.0,439.7030045,143.863248,0.765601405,22.98978538,683530.0,12.46087241,606520.0,77.8,23.35311063,192800.0,41.10937106,-114430.7031,1.615308295,12.86362663,1129623466.0,14.4825005,50.07279968,0.8520402950039268,50.66868304,1894780.0,326495070.0,28.903,2.767126132,IND,India
2005,1185.953,5.37,60.482,1.033,4.01,24326.352,2.06,0.32,722.497,59.687,50.439,351.646,0.052,0.63,0.044,0.306,6.22,6.24,0.94,3.17,918.974,16088.342,733.283,6447.777,4.07,2.79,0.5,1.54,1147609924.0,3709371084176.35,67.09343719,60.58341377,1801260.0,17.62020695,53.62724885,1.039673742,0.305340215,0.335713818,1137740.0,0.991399583,4.436859212,50479.922,26.36911228,300011.938,70.14530666,798071.212,2.204257098,2411.6,468.025754,66.85963647,15.07847346,10.54515018,2.420716098,3.544440346,1.540544619,11025000000.0,449.765857,138.5229588,0.88610072,23.05385798,685435.0,13.81573825,621230.0,74.5,23.57866684,202260.0,-19.09039527,-116803.8906,1.579709143,12.97904888,1147609924.0,16.61901808,48.53239822,0.8956603623847901,52.62387195,1969680.0,335503761.0,29.235,2.721831742,IND,India
2006,1259.744,6.22,73.791,1.081,4.12,25586.096,2.11,0.313,774.666,64.905,49.442,368.891,0.056,0.665,0.042,0.316,6.2,6.34,0.9,3.29,983.88,16863.009,782.725,6816.669,4.17,2.86,0.51,1.58,1165486291.0,4024058556640.22,67.9,60.50941918,1799060.0,16.80944209,53.36423168,1.026819845,0.301565173,0.321824196,1214250.0,1.041839796,4.075149104,49482.498,26.0985909,316902.14,70.47132938,855698.117,2.235044585,2446.5,509.2140548,66.68824892,15.55627927,10.25660908,2.429877072,3.071012065,1.984145446,15353000000.0,466.1382611,134.9257976,2.130168425,23.11793057,687340.0,14.79470668,630640.0,71.2,25.67922763,211620.0,10.7070012,-135049.1953,1.545696439,13.10259041,1165486291.0,17.54042472,46.0632019,0.9739177302242634,60.93451502,2065570.0,344622641.0,29.569,2.681685772,IND,India
2007,1358.152,7.81,98.408,1.148,4.31,26944.249,2.17,0.312,843.677,68.333,52.696,391.028,0.058,0.713,0.044,0.33,6.09,6.59,0.92,3.48,1052.213,17706.686,835.421,7207.696,4.25,2.94,0.53,1.63,1183209471.0,4355554151801.83,70.13076019,60.4132262,1796200.0,16.75011976,53.14897467,1.04946375,0.308215428,0.320316614,1336100.0,1.129216789,3.94721907,52738.794,25.12832266,335739.519,69.74984754,931927.713,2.327803863,2583.3,541.7383952,65.48205784,15.52570963,11.57179232,2.058980309,2.997706308,2.338376056,19258000000.0,485.0996287,132.4060986,2.073395746,23.18200317,689245.0,16.42288166,642980.0,67.9,27.86807338,220490.0,102.1576192,-97510.39063,1.509221986,13.23435806,1183209471.0,17.86408569,44.90340042,0.942560017,71.69238453,2209240.0,353850624.0,29.906,2.642483378,IND,India
2008,1462.815,7.71,104.662,1.218,4.56,28407.063,2.23,0.318,912.093,73.245,63.047,412.316,0.061,0.76,0.052,0.343,6.43,6.89,1.07,3.68,1125.458,18618.779,898.467,7620.013,4.35,3.03,0.55,1.68,1200669762.0,4601841953785.29,71.6510849,60.45930465,1797570.0,16.79094236,53.13989352,1.084923806,0.318629638,0.324821502,1423880.0,1.185904772,4.431417605,63098.069,28.33125004,403403.003,70.75717399,1007497.249,2.364434229,2637.9,561.2475814,68.44469591,13.76817488,10.24370694,1.759522841,3.0121824,2.741658857,23259000000.0,501.5596362,134.7593578,3.620521897,23.24607576,691150.0,18.03762478,650450.0,64.7,29.68531801,224730.0,13.41217945,-105233.2031,1.464889915,13.37611399,1200669762.0,16.50983374,43.40510178,0.967050016,75.7794302,2309340.0,363154576.0,30.246,2.595371485,IND,India
2009,1612.817,10.25,150.002,1.324,5.1,30019.88,2.3,0.326,985.349,81.268,112.685,431.61,0.067,0.809,0.092,0.354,6.94,7.54,1.96,3.92,1206.726,19604.127,1011.152,8051.623,4.46,3.12,0.6,1.74,1217726217.0,4945730831162.09,75.0,60.56390611,1800680.0,16.74427016,53.11601344,1.108027801,0.325415016,0.329228862,1568530.0,1.288080997,5.817291413,91245.961,28.99761847,454836.345,69.39112449,1088420.605,2.365071783,2580.8,598.4982419,66.96802144,12.33356081,12.6579905,2.031610091,2.649073042,3.326494437,30514000000.0,544.6265973,137.5920249,2.651593127,23.31014836,693055.0,20.87077383,644140.0,61.4,33.58722116,229100.0,66.41280721,-161638.9063,1.410582714,13.5281035,1217726217.0,15.66005525,42.10749817,0.989970028,87.01835222,2452660.0,372465918.0,30.587,2.531696551,IND,India
2010,1677.888,4.03,65.071,1.359,5.03,31697.767,2.36,0.316,1017.376,86.029,134.244,438.373,0.07,0.824,0.109,0.355,6.9,7.28,2.16,3.88,1292.755,20621.503,1145.396,8489.996,4.57,3.21,0.65,1.79,1234281163.0,5314516588695.22,76.3,60.39741826,1795730.0,17.02650901,52.80826318,1.084258529,0.318434254,0.318455483,1665310.0,1.349214466,6.023990668,100318.119,24.87568819,414257.323,65.66539581,1093532.403,2.402218969,2676.4,640.3946068,67.17829809,12.56565137,11.56699503,2.681802217,2.490565807,3.478093068,34065000000.0,561.6534059,132.5583797,1.635034274,23.37422095,694960.0,20.98017535,650140.0,58.2,38.05301485,237170.0,243.2754796,-166579.0938,1.350338314,13.69290807,1234281163.0,16.04374444,41.1128006,0.989049971,99.76308558,2564130.0,381763164.0,30.93,2.465488847,IND,India
