AG.LND.AGRI.K2,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.FRST.K2,AG.LND.FRST.ZS,AG.YLD.CREL.KG,BX.KLT.DINV.WD.GD.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.EG.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.ATM.GHGO.KT.CE,EN.ATM.GHGO.ZG,EN.ATM.GHGT.KT.CE,EN.ATM.GHGT.ZG,EN.ATM.METH.KT.CE,EN.ATM.METH.ZG,EN.ATM.NOXE.KT.CE,EN.ATM.NOXE.ZG,EN.URB.MCTY.TL.ZS,NV.AGR.TOTL.ZS,SE.ENR.PRSC.FM.ZS,SH.DYN.MORT,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,ISO_CODE,Country,Year
5288851.0,56.11691083,12.80041683,2025471.54,21.49109623,5709.4,3.708828902,99.85722351,78.87712304,14.62413023,2.039061303,1.835335837,0.257818456,16.76177043,100573000000.0,2.137640198,11.33819962,215.3989646,3298.003913,2086.486904,3.308332359,246191.379,2.653424719,1.121160356,9278250.0,1124778.91,12.12274847,6.902792141,0.670182408,0.712611365,7315771.343,78.848612,-301112.0,306.1403514,11074550.0,209.9220846,1106190.0,66.90508204,493000.0,67.05221356,23.87309725,9.177653795,0.992420018,14.6,0.479150454,1344130000.0,3.05606997,678933504.0,50.511,CHN,China,2011
5287995.0,56.10782831,12.72820233,2044839.28,21.69659602,5827.1,2.827090556,99.96487427,75.65891205,17.30873395,1.981570925,1.953846265,0.21940999,19.96624894,132470000000.0,2.657514988,11.53670025,207.2759854,3474.988062,2155.164788,3.274925199,277826.588,2.914302612,1.067985514,9533210.0,1177675.385,12.35339812,7.058003472,0.630314121,0.678813348,7470918.446,78.36729125,-228593.0,306.1403514,11399830.0,219.9524772,1151100.0,72.31516453,503970.0,72.46706519,24.41937847,9.11371387,0.997179985,13.5,0.487231118,1350695000.0,2.939542285,699187267.0,51.765,CHN,China,2012
5288015.0,56.10803814,12.70719317,2064207.02,21.90209487,5894.1,3.039875469,99.99700928,75.27906857,16.73134903,1.961219277,2.053005141,0.184178729,20.29622738,193807000000.0,3.564878351,11.52200031,198.5457957,3773.405384,2213.759327,3.306811614,320389.457,3.224310907,1.032963886,9936680.0,1235632.32,12.43506201,7.320485052,0.613941373,0.656553543,7499587.052,75.47377043,-246268.0,3527.9485927819987,11854530.0,99.6363563993607,1178020.0,126.27723643254609,515990.0,330.37751285297077,24.97828766,8.942893962,1.006090045,12.5,0.493709634,1357380000.0,2.87600167,719587859.0,53.013,CHN,China,2013
5286950.0,56.09673805,12.69589308,2083574.76,22.10759465,5893.2,2.559233447,100.0,72.63390781,18.55249398,2.021005181,2.33928636,0.167974379,22.60915378,229840000000.0,4.056659804,12.06140041,187.6870333,3927.0445,2236.729908,3.242644147,353880.168,3.576375077,0.957521533,9894940.0,1264106.575,12.77528287,7.252919144,0.577932351,0.60860226,7431146.164,75.10046715,-415197.0,4038.2259083028016,11865310.0,101.46689273808931,1206210.0,141.52580622089684,528020.0,350.04401383762126,25.54668335,8.643491396,1.00948,11.6,0.506311592,1364270000.0,2.829482685,740239259.0,54.259,CHN,China,2014
5286334.0,56.09020144,12.68935693,2102942.5,22.31309418,5896.3,2.192181603,100.0,70.30942695,19.06981297,2.487030638,68.28811189928638,0.165618383,23.92681717,283851000000.0,4.857004208,12.24530029,202.656102945788,-149.61208169883258,2262.7042087805476,-2.3667911591208117,366949.356,3.732790488,0.888702511,9830430.0,1328664.11,13.51582901,7.169112177,0.55237228,0.564860777,7272926.115,73.98380452,-382872.0,4871.60291812214,11859290.0,96.37250139240939,1237520.0,160.2023129131795,542900.0,385.0656837771189,26.12622161,8.387014882,1.01157999,10.7,0.508136747,1371220000.0,2.769551135,761027100.0,55.5,CHN,China,2015
5285529.0,56.08166541,12.68081675,2124598.67,22.5428773,5979.5,1.55564215,100.0,257.23898085089434,-89.50346158175725,-7.2564409716943885,33.67652031676913,-102.19221380970967,-1.7225124369019653,11318248135.946613,1.7365651472564432,12.58969975,486.89989780865835,2651.101905082997,1736.4476275748411,5.245240595805274,403091.308,4.107179292,0.830374815,9814310.0,1336397.813,13.61682903,7.118705414,0.524490144,0.527787597,6951652.911,70.8318049,-364711.4375,1556.6883068279412,11857180.0,48.63654864079274,1242150.0,40.39499248985806,546990.0,212.8704798661768,26.70102694,8.057287535,1.010139942,9.9,0.541478512,1378665000.0,2.744069375,782199374.0,56.736,CHN,China,2016
5285311.0,56.07935055,12.67850328,2143394.7,22.74231029,6028.6,1.349132679,100.0,248.8183876248233,-73.08491300084931,-0.3122716901685578,15.432068913911365,-90.77486743837923,4.670899899067635,11848345017.200502,1.4629344240567645,12.86359978,424.2133472305568,2815.6134743217813,1925.2774391053485,6.131779653333883,245166.80528561486,8.365174422559917,0.792530585,10017770.0,1800613.2625485926,5.032190948276465,7.225768991,0.503733742,0.503733742,6702760.920081173,47.220059033102075,-1026538.1371527421,1948.9952519650265,12058050.0,40.1399183434022,1239130.0,24.52171918610371,542100.0,171.271937545698,27.27140635,7.463565017,1.013219953,9.2,0.559121331,1386395000.0,2.693540138,803554542.0,57.96,CHN,China,2017
5285287.0,56.07908341,12.6782458,2162190.4,22.94173538,6081.4,1.693905294,100.0,256.84154389925993,-76.52260631346454,0.15927438847879216,16.199097911560848,-96.00983420612633,4.133212379356948,12368177342.826653,1.5127135909107237,13.12380028,440.79346408308356,2910.726654519473,1967.1158700915726,6.341046490282356,253096.9084160233,8.8439343307558,0.764332629,10313460.0,1855107.6210754411,4.256076048842985,7.405211347,0.474420333,0.485811075,6895222.528453414,46.511997449105934,-1092234.9081241223,2052.297416141657,12355240.0,37.752752154234145,1238630.0,24.458138019210878,538790.0,174.4705779225375,27.88756177,7.043020253,1.014310002,8.5,0.455899679,1392730000.0,2.491628201,823827650.0,59.152,CHN,China,2018
5284364.921713377,56.08260741497653,16.536795507209682,2180986.1,23.14116554,6126.391421791863,1.310718781,100.0,123.11209248666466,32.77262066137462,1.4796903240357722,1.933604120462462,-59.92831119808011,-32.04710617068899,12838861675.774513,1.7478030538990668,19.00243418813738,691.6144589198375,1739.6796340651267,808.2088220449598,1.0353474033434757,53663.577797294434,-0.2529689312316208,-8.409299397383108,2780208.8316644593,763905.0489418937,14.048718879304303,0.948030970247352,10.037129440953413,7.28695726774261,2188581.4041949464,97.18135002928,-885114.9139739599,1604.4683292182467,3768013.906673758,-118.6940750766737,94157.56048124493,-25.69104004349436,472249.2016993931,-16.968623728029094,28.54488333,7.143691248,1.015290022,7.9,0.357291063,1397715000.0,2.292727263,842933962.0,60.308,CHN,China,2019
5291593.753909874,56.15968792772827,16.702783170283375,2199781.8,23.3405957,6167.7713603181,-1.3907549995857238,96.93087006,126.987083687612,32.949473762205514,1.4735867080647438,2.074471874740304,-64.19400174400856,-33.90282400956322,13330749512.557917,1.834641565992066,18.616653913374847,708.6480809650357,1783.5697015147778,811.2167493814875,0.9775053189764442,54383.143174111974,-0.3431720766323423,-8.738552403642132,2817699.821077364,775948.7384149861,13.51767941272469,0.9171752467956935,10.23284726894434,7.42447983689121,2221931.185103108,98.20974206783022,-915871.9552372937,1718.101959395925,3791100.7302023973,-127.33806062330734,73113.0288881897,-27.539493411844667,474735.99451188836,-17.591898622319384,29.22112199,7.653066548,1.012869954,102.00057330185433,0.314091093,1402112000.0,2.15419031,861289359.0,61.428,CHN,China,2020
