Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Bangladesh,82000,11.424448065892129,1220535.5041449915,1030.4279999999997,75.34085965900002,5227431.878024173,56474.72960435049,3027810.7759627746,53.98421814424346,9280.39773929733
Barbados,82000,184.43165423117037,93903.52790491557,1420.6470000000006,13.393960938999996,290825.1691574683,55116.49382375312,118271.53635757626,97.21487490670006,72235.61282767361
Belarus,82000,236.03034281142084,3007286.447752588,2859.1430000000005,-1.9506529639999999,4620380.523388081,329281.14443223074,669058.0117619159,94.44383466921167,107332.64625174602
Belgium,82000,418.7657173932372,4269275.983247348,3976.3180000000007,15.989734526999998,5246297.59212143,-13366.798508779524,490475.6058511658,89.36121837633743,200467.76294020508
Belize,82000,73.91424071754518,64497.900233999564,1904.093,103.45998464000003,247358.6859372632,34462.30291837605,108191.61095384115,81.54611667662934,36115.90522149921
Benin,82000,15.98941811987959,144335.39489372325,1576.162,120.90559811400001,826337.5726208916,354623.11467662256,205420.1850280987,35.013714296814335,17856.045197888212
Bermuda,82000,284.9463158467536,861083.5649157248,4100.0,17.20928414700001,2309905.8375411113,465627.4757138038,693760.9841101288,115.12745782525828,133421.90255119954
Bhutan,82000,26.794572889669723,61309.421174273884,1054.771,66.911011022,221837.30779944707,23282.2982240406,84275.13410509977,73.84826364713885,14660.34206849892
Bolivia,82000,52.01744931547506,447546.0355630306,2478.678,75.93903335100002,2979172.495946405,1372859.502425378,797856.881319665,83.86103457936002,27498.188727650137
Bosnia and Herzegovina,82000,160.39358137860893,559046.223092374,1738.0439999999999,-23.231788944999998,1031595.0341953244,6536.718903861227,193589.46489182912,115.55286798487401,55734.6947658963
Botswana,82000,89.46480782087187,190544.03275360056,2044.866,100.00479610900003,694218.9952504993,29014.18458976818,267311.9436720036,79.71897562446419,46126.75768615666
Brazil,82000,76.82488262249248,11738291.410667785,3235.9479999999994,58.95678346100002,39254266.403991215,7940558.43700653,13511231.886331547,67.64497393898132,49669.53712479534
British Virgin Islands,82000,110.42538949746219,718568.3109305573,1636.8060000000003,99.08338235399998,2570969.539516658,688348.6778574823,777792.4574507157,76.45917894172783,49992.73992090284
Brunei Darussalam,82000,615.7470114309466,246825.93677411348,2912.9149999999995,84.67471335199997,799909.3638213595,124677.3474318645,395008.71029843413,90.69266221257274,289509.22948229546
Bulgaria,82000,286.7202561900005,2341986.051677087,2836.3469999999998,-24.222671812,3178531.583777761,-87842.22962040103,483211.1236136108,106.4292900742287,113067.93329109906
Burkina Faso,82000,5.97220003108116,98420.89305326942,781.646,114.20378838099998,855866.4624360446,59879.1798197297,430174.93971016025,63.66358091895559,6420.001389540819
Burundi,82000,1.474658998,51767.796476177566,348.91399999999993,107.67406337500003,299381.0092657559,37779.338766797846,114650.42505842238,61.40602052470046,2722.273973842439
Cabo Verde,82000,30.1467311298259,60560.00946516321,2077.698999999999,68.69254339199999,175666.06595723797,42248.82488707655,51788.13701717883,91.32367568515922,19981.116904875074
Cambodia,82000,9.484335049129331,160092.48771442956,742.392,90.398492721,1058165.684410374,57435.148375243225,670476.2668061716,49.24359336032663,9269.817963489024
Cameroon,82000,22.009916785331477,295560.48729706265,1862.5960000000002,115.475067619,3100163.3692878233,663746.473405286,522649.7003340363,48.11023585185463,19999.02945512275
Canada,82000,637.9859509215333,19202497.882891357,3233.594,45.130755954000016,25634642.442028385,-4448365.138869329,3644505.3306897637,87.23945547500806,307629.0815304425
